incident_zip,complaint_count,population,complaints_per_1000
11212,2499,87946.0,28.41516385054465
11213,2532,69630.0,36.36363636363636
11214,3899,88994.0,43.81194237813786
11215,5746,70922.0,81.01858379628324
11216,2908,59913.0,48.53704538247125
11217,3006,42569.0,70.61476661420282
11218,5098,71313.0,71.48766704527925
11219,4056,94737.0,42.81326197789671
11220,2804,90792.0,30.88377830645872
11221,3067,90750.0,33.79614325068871
11222,1920,41418.0,46.35665652614805
11223,5838,78566.0,74.30695211669169
11224,479,48469.0,9.882605376632487
11225,2455,56544.0,43.4175155631013
11226,2886,100022.0,28.853652196516766
11228,4435,42325.0,104.7844063792085
11229,7892,79802.0,98.89476454224206
11230,8433,88252.0,95.55590808140326
11231,2684,39704.0,67.60024178924037
11232,1141,26681.0,42.7645140736854
11233,2659,82711.0,32.148081875445826
11234,11980,87778.0,136.48066713755156
11235,4675,81958.0,57.0414114546475
11236,6366,95174.0,66.88801563452203
11237,1516,45233.0,33.51535383458979
11238,3535,58462.0,60.46662789504293
11239,156,16047.0,9.72144326042251
11241,1,,
11249,691,45353.0,15.236037307344608
112611,1,,
11354,3948,52325.0,75.45150501672241
11355,3833,79802.0,48.03137765970777
11356,2333,26956.0,86.54844932482564
11357,8071,42341.0,190.6190217519662
11358,7837,36496.0,214.73586146427007
11359,16,0.0,inf
11360,2032,19510.0,104.15171706817017
11361,5493,30402.0,180.6789027037695
11362,3917,18156.0,215.7413527208636
11363,2842,7515.0,378.17697937458416
11364,6449,36417.0,177.08762391190928
11365,6505,43258.0,150.37680891395811
11366,3715,12967.0,286.49649109277397
11367,5048,42210.0,119.59251362236436
11368,2662,107060.0,24.864561927890904
11369,2560,33354.0,76.75241350362775
11370,2764,28762.0,96.0990195396704
11371,2,0.0,inf
11372,2607,66995.0,38.913351742667366
11373,2987,99433.0,30.040328663522168
11374,2588,46128.0,56.104751994450226
11375,6753,75320.0,89.6574614976102
11377,4429,83545.0,53.0133461009037
11378,3742,37828.0,98.9214338585175
11379,5426,37378.0,145.16560543635293
11385,9467,103865.0,91.14716218167814
11411,3168,20501.0,154.52904736354324
11412,4837,41350.0,116.9770253929867
11413,5410,45072.0,120.03017394391196
11414,3422,31090.0,110.06754583467352
11415,2241,21379.0,104.8224893587165
11416,1757,26660.0,65.9039759939985
11417,3585,30091.0,119.13861287428135
11418,3482,36304.0,95.91229616571177
11419,3419,46938.0,72.8407686735694
11420,5935,50060.0,118.55773072313224
11421,3858,41937.0,91.99513556048358
11422,4377,33085.0,132.29560223666314
11423,3229,29105.0,110.94313691805532
11426,5100,19638.0,259.70058050718
11427,3736,25124.0,148.70243591784748
11428,3087,18898.0,163.35061911313366
11429,3099,27933.0,110.94404467833745
1143,1,,
11430,14,448.0,31.25
11432,5456,63730.0,85.61117213243371
11433,2540,37777.0,67.2366784022024
11434,5242,67611.0,77.53176258301164
11435,3334,58424.0,57.06558948377379
11436,1982,21364.0,92.7728889721026
11439,1,2171.0,0.460617227084293
11559,1,9130.0,0.1095290251916758
11580,1,42644.0,0.023449957790075977
11691,1850,68704.0,26.927107591988822
11692,217,23247.0,9.334537789822344
11693,210,13066.0,16.072248584111435
11694,1301,21430.0,60.70928604759683
11695,1,,
11697,20,4123.0,4.8508367693427115
13615,1,,
N/A,5,,
NA,2,,
